region_id,region_nombre,comuna_id,comuna_nombre,total_votos_1era,votos_boric,votos_kast,votos_artes,votos_parisi,votos_meo,votos_sichel,votos_provoste,opcion,n_votos_pleb,total_votos_pleb,voto_apruebo,voto_rechazo,participacion,dif_1era_pleb
3008,DEL BIOBIO,2661,LOS ANGELES,70260,9446,29438,615,11658,3254,8842,6438,APRUEBO,43288,68745,43288,,.42473644,1515
3014,DE LOS RIOS,2813,LOS LAGOS,7758,1476,2851,60,1091,396,698,1055,APRUEBO,5399,7512,5399,,.39763758,246
3010,DE LOS LAGOS,2712,LOS MUERMOS,6826,796,3214,37,759,245,715,858,APRUEBO,2780,5116,2780,,.31506342,1710
3009,DE LA ARAUCANIA,2701,LOS SAUCES,3570,386,1881,28,277,130,310,462,APRUEBO,1409,2495,1409,,.33858696,1075
3004,DE COQUIMBO,2534,LOS VILOS,8167,2142,1431,150,1322,659,801,1331,APRUEBO,7679,8875,7679,,.49047723,-708
3008,DEL BIOBIO,2647,LOTA,21534,3892,6201,218,4624,1827,1290,3074,APRUEBO,17051,22943,17051,,.47797799,-1409
3009,DE LA ARAUCANIA,2702,LUMACO,4239,556,2443,52,241,175,227,455,APRUEBO,1711,2979,1711,,.32597047,1260
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2586,MACHALI,20628,5093,5587,172,2884,1619,3171,1848,APRUEBO,16393,20932,16393,,.58579749,-304
3013,METROPOLITANA DE SANTIAGO,2775,MACUL,53961,19448,11867,963,3105,4320,8406,5997,APRUEBO,49762,60392,49762,,.59166962,-6431
3014,DE LOS RIOS,2814,MAFIL,3417,479,1292,29,647,187,283,423,APRUEBO,2049,2853,2049,,.4078308,564
3013,METROPOLITANA DE SANTIAGO,2776,MAIPU,206897,75646,42681,4173,17651,20921,25947,19369,APRUEBO,208747,243115,208747,,.61960757,-36218
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2587,MALLOA,5461,1064,1691,43,686,414,682,794,APRUEBO,4246,5435,4246,,.44831005,26
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2599,MARCHIGUE,3104,669,755,33,240,171,605,595,APRUEBO,2408,2926,2408,,.43038163,178
3002,DE ANTOFAGASTA,2516,MARIA ELENA,1838,265,212,34,964,118,73,148,APRUEBO,1938,2138,1938,,.33080143,-300
3013,METROPOLITANA DE SANTIAGO,2803,MARIA PINTO,5570,1507,1503,52,485,419,793,760,APRUEBO,4424,5473,4424,,.48552656,97
3014,DE LOS RIOS,2815,MARIQUINA,7785,1520,2346,72,1543,391,667,1226,APRUEBO,5934,7772,5934,,.41697991,13
3007,DEL MAULE,2616,MAULE,12202,2117,3418,94,2339,968,1544,1525,APRUEBO,8355,10877,8355,,.47753128,1325
3010,DE LOS LAGOS,2714,MAULLIN,5594,882,2197,50,715,208,496,941,APRUEBO,3418,5095,3418,,.33090198,499
3002,DE ANTOFAGASTA,2509,MEJILLONES,3907,747,589,52,1656,270,199,350,APRUEBO,4572,5128,4572,,.52244276,-1221
3009,DE LA ARAUCANIA,2684,MELIPEUCO,2251,362,944,26,247,95,199,328,APRUEBO,1542,2159,1542,,.28727371,92
3013,METROPOLITANA DE SANTIAGO,2800,MELIPILLA,40347,10619,12235,590,4351,2810,5546,4810,APRUEBO,34983,43097,34983,,.44184121,-2750
3007,DEL MAULE,2628,MOLINA,19129,3961,4884,185,2641,1647,2255,3244,APRUEBO,15425,19214,15425,,.49311513,-85
3004,DE COQUIMBO,2538,MONTE PATRIA,10491,1972,1894,185,2623,748,794,1837,APRUEBO,9838,11192,9838,,.39916179,-701
